timestamp,predicted_value,change_pct,direction,trend,confidence,volatility_regime,horizon,interval_90,interval_50,interval_95,calibration_samples
2026-03-19T13:00:00,73994.47,-0.001228,-1,DOWN,0.115,normal,54,"{'lower': np.float64(73416.61), 'upper': np.float64(74428.49), 'width': np.float64(1011.87)}","{'lower': np.float64(73854.8), 'upper': np.float64(74119.14), 'width': np.float64(264.34)}","{'lower': np.float64(73305.63), 'upper': np.float64(74600.43), 'width': np.float64(1294.8)}",301
2026-03-19T14:00:00,73992.98,-0.001248,-1,DOWN,0.1114,normal,55,"{'lower': np.float64(73411.51), 'upper': np.float64(74426.42), 'width': np.float64(1014.91)}","{'lower': np.float64(73850.24), 'upper': np.float64(74114.24), 'width': np.float64(264.0)}","{'lower': np.float64(73293.77), 'upper': np.float64(74611.9), 'width': np.float64(1318.14)}",301
2026-03-19T15:00:00,73991.5,-0.001268,-1,DOWN,0.1075,normal,56,"{'lower': np.float64(73394.58), 'upper': np.float64(74430.97), 'width': np.float64(1036.39)}","{'lower': np.float64(73846.87), 'upper': np.float64(74115.32), 'width': np.float64(268.45)}","{'lower': np.float64(73275.67), 'upper': np.float64(74623.38), 'width': np.float64(1347.71)}",301
2026-03-19T16:00:00,73990.04,-0.001288,-1,DOWN,0.1051,normal,57,"{'lower': np.float64(73377.66), 'upper': np.float64(74439.32), 'width': np.float64(1061.66)}","{'lower': np.float64(73843.18), 'upper': np.float64(74116.98), 'width': np.float64(273.8)}","{'lower': np.float64(73257.59), 'upper': np.float64(74634.88), 'width': np.float64(1377.29)}",301
2026-03-19T17:00:00,73988.59,-0.001308,-1,DOWN,0.102,normal,58,"{'lower': np.float64(73361.06), 'upper': np.float64(74447.68), 'width': np.float64(1086.62)}","{'lower': np.float64(73838.73), 'upper': np.float64(74114.23), 'width': np.float64(275.5)}","{'lower': np.float64(73239.53), 'upper': np.float64(74646.39), 'width': np.float64(1406.86)}",301
2026-03-19T18:00:00,73987.15,-0.001327,-1,DOWN,0.1,normal,59,"{'lower': np.float64(73352.93), 'upper': np.float64(74455.5), 'width': np.float64(1102.57)}","{'lower': np.float64(73834.8), 'upper': np.float64(74111.31), 'width': np.float64(276.51)}","{'lower': np.float64(73219.21), 'upper': np.float64(74650.57), 'width': np.float64(1431.36)}",301
2026-03-19T19:00:00,73985.7,-0.001346,-1,DOWN,0.1,normal,60,"{'lower': np.float64(73349.29), 'upper': np.float64(74457.42), 'width': np.float64(1108.13)}","{'lower': np.float64(73828.26), 'upper': np.float64(74111.76), 'width': np.float64(283.5)}","{'lower': np.float64(73197.79), 'upper': np.float64(74651.1), 'width': np.float64(1453.3)}",301
2026-03-19T20:00:00,73984.26,-0.001366,-1,DOWN,0.1,normal,61,"{'lower': np.float64(73332.35), 'upper': np.float64(74453.0), 'width': np.float64(1120.64)}","{'lower': np.float64(73822.48), 'upper': np.float64(74112.02), 'width': np.float64(289.54)}","{'lower': np.float64(73176.37), 'upper': np.float64(74651.62), 'width': np.float64(1475.25)}",301
2026-03-19T21:00:00,73982.81,-0.001386,-1,DOWN,0.1,normal,62,"{'lower': np.float64(73320.11), 'upper': np.float64(74451.4), 'width': np.float64(1131.29)}","{'lower': np.float64(73819.65), 'upper': np.float64(74113.65), 'width': np.float64(294.0)}","{'lower': np.float64(73154.96), 'upper': np.float64(74652.15), 'width': np.float64(1497.2)}",301
2026-03-19T22:00:00,73981.37,-0.001405,-1,DOWN,0.1,normal,63,"{'lower': np.float64(73314.13), 'upper': np.float64(74458.57), 'width': np.float64(1144.44)}","{'lower': np.float64(73816.16), 'upper': np.float64(74118.68), 'width': np.float64(302.52)}","{'lower': np.float64(73133.54), 'upper': np.float64(74652.69), 'width': np.float64(1519.15)}",301
2026-03-19T23:00:00,73979.93,-0.001424,-1,DOWN,0.1,normal,64,"{'lower': np.float64(73308.46), 'upper': np.float64(74465.74), 'width': np.float64(1157.27)}","{'lower': np.float64(73812.26), 'upper': np.float64(74116.78), 'width': np.float64(304.52)}","{'lower': np.float64(73112.13), 'upper': np.float64(74653.22), 'width': np.float64(1541.09)}",301
2026-03-20T00:00:00,73978.5,-0.001444,-1,DOWN,0.1,normal,65,"{'lower': np.float64(73302.8), 'upper': np.float64(74472.19), 'width': np.float64(1169.4)}","{'lower': np.float64(73810.21), 'upper': np.float64(74112.31), 'width': np.float64(302.1)}","{'lower': np.float64(73090.72), 'upper': np.float64(74653.76), 'width': np.float64(1563.04)}",301
2026-03-20T01:00:00,73977.06,-0.001463,-1,DOWN,0.1,normal,66,"{'lower': np.float64(73297.14), 'upper': np.float64(74478.83), 'width': np.float64(1181.69)}","{'lower': np.float64(73802.98), 'upper': np.float64(74115.42), 'width': np.float64(312.44)}","{'lower': np.float64(73069.32), 'upper': np.float64(74654.3), 'width': np.float64(1584.99)}",301
2026-03-20T02:00:00,73975.63,-0.001482,-1,DOWN,0.1,normal,67,"{'lower': np.float64(73291.48), 'upper': np.float64(74486.84), 'width': np.float64(1195.36)}","{'lower': np.float64(73801.72), 'upper': np.float64(74113.06), 'width': np.float64(311.34)}","{'lower': np.float64(73047.96), 'upper': np.float64(74654.85), 'width': np.float64(1606.88)}",301
2026-03-20T03:00:00,73974.2,-0.001502,-1,DOWN,0.1,normal,68,"{'lower': np.float64(73285.83), 'upper': np.float64(74493.68), 'width': np.float64(1207.85)}","{'lower': np.float64(73797.47), 'upper': np.float64(74111.8), 'width': np.float64(314.33)}","{'lower': np.float64(73026.79), 'upper': np.float64(74655.39), 'width': np.float64(1628.6)}",301
2026-03-20T04:00:00,73972.77,-0.001521,-1,DOWN,0.1,normal,69,"{'lower': np.float64(73280.17), 'upper': np.float64(74495.02), 'width': np.float64(1214.85)}","{'lower': np.float64(73794.07), 'upper': np.float64(74110.87), 'width': np.float64(316.81)}","{'lower': np.float64(73005.61), 'upper': np.float64(74655.94), 'width': np.float64(1650.32)}",301
2026-03-20T05:00:00,73971.34,-0.00154,-1,DOWN,0.1,normal,70,"{'lower': np.float64(73274.51), 'upper': np.float64(74496.01), 'width': np.float64(1221.5)}","{'lower': np.float64(73793.03), 'upper': np.float64(74109.71), 'width': np.float64(316.68)}","{'lower': np.float64(72984.44), 'upper': np.float64(74664.89), 'width': np.float64(1680.45)}",301
2026-03-20T06:00:00,73969.91,-0.00156,-1,DOWN,0.1,normal,71,"{'lower': np.float64(73266.13), 'upper': np.float64(74498.51), 'width': np.float64(1232.38)}","{'lower': np.float64(73788.68), 'upper': np.float64(74108.55), 'width': np.float64(319.87)}","{'lower': np.float64(72963.26), 'upper': np.float64(74662.13), 'width': np.float64(1698.87)}",301
2026-03-20T07:00:00,73968.48,-0.001579,-1,DOWN,0.1,normal,72,"{'lower': np.float64(73263.19), 'upper': np.float64(74508.8), 'width': np.float64(1245.61)}","{'lower': np.float64(73784.62), 'upper': np.float64(74116.25), 'width': np.float64(331.63)}","{'lower': np.float64(72942.08), 'upper': np.float64(74659.37), 'width': np.float64(1717.29)}",301
